date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR
2005-10-24,1103,830009,11493874,13.9,14.0,13.65,13.8,-0.1,216,0.0,0.94
2005-10-25,1103,1539032,21286787,13.95,14.0,13.7,13.75,-0.05,332,0.0,0.94
2005-10-26,1103,1979925,27454885,13.75,14.0,13.7,13.7,-0.05,416,0.0,0.93
2005-10-27,1103,1348208,18797070,13.7,14.1,13.7,14.0,0.3,305,0.0,0.95
2005-10-28,1103,588900,8225191,13.9,14.05,13.8,14.0,0.0,313,0.0,0.95
2005-10-31,1103,1020991,14331333,14.0,14.1,13.9,14.1,0.1,186,0.0,0.96
2005-11-01,1103,130483,1836438,14.3,14.3,14.0,14.0,-0.1,61,0.0,0.94
2005-11-02,1103,746680,10545651,14.1,14.25,14.0,14.25,0.25,193,0.0,0.96
2005-11-03,1103,1199814,17113832,14.25,14.4,14.1,14.3,0.05,241,0.0,0.96
2005-11-04,1103,1577269,22562932,14.3,14.45,14.1,14.45,0.15,236,0.0,0.97
2005-11-07,1103,150500,2143634,14.45,14.45,14.15,14.15,-0.3,67,0.0,0.95
2005-11-08,1103,1084423,15404113,14.1,14.35,14.1,14.3,0.15,178,0.0,0.96
2005-11-09,1103,1506100,21588521,14.25,14.5,14.15,14.4,0.1,197,0.0,0.97
2005-11-10,1103,536000,7681850,14.3,14.4,14.2,14.3,-0.1,131,0.0,0.96
2005-11-11,1103,542000,7761700,14.3,14.4,14.25,14.25,-0.05,143,0.0,0.96
2005-11-14,1103,790077,11246926,14.25,14.35,14.1,14.2,-0.05,266,0.0,0.96
2005-11-15,1103,1348849,19212937,14.2,14.4,14.15,14.25,0.05,225,0.0,0.96
2005-11-16,1103,711000,10074900,14.2,14.2,14.1,14.15,-0.1,93,0.0,0.95
2005-11-17,1103,445000,6285800,14.15,14.2,14.0,14.15,0.0,104,0.0,0.95
2005-11-18,1103,578002,8185030,14.1,14.25,14.1,14.1,-0.05,85,0.0,0.95
2005-11-21,1103,874000,12470035,14.1,14.35,14.1,14.25,0.15,368,0.0,0.96
2005-11-22,1103,654542,9246080,14.3,14.3,14.0,14.3,0.05,172,0.0,0.96
2005-11-23,1103,682000,9691050,14.1,14.3,14.1,14.3,0.0,98,0.0,0.96
2005-11-24,1103,642562,9018240,14.15,14.15,13.95,14.05,-0.25,205,0.0,0.95
2005-11-25,1103,545000,7606950,14.05,14.05,13.9,14.0,-0.05,115,0.0,0.94
2005-11-28,1103,432000,5973450,14.0,14.0,13.7,13.85,-0.15,97,0.0,0.93
2005-11-29,1103,615063,8592360,13.95,14.1,13.75,13.9,0.05,143,0.0,0.94
2005-11-30,1103,898024,12389880,14.1,14.1,13.75,13.75,-0.15,249,0.0,0.93
2005-12-01,1103,295000,4056700,13.8,13.9,13.7,13.7,-0.05,73,0.0,0.92
2005-12-02,1103,340100,4662162,13.7,13.9,13.6,13.75,0.05,94,0.0,0.93
2005-12-05,1103,779001,10575413,13.85,13.85,13.45,13.7,-0.05,194,0.0,0.92
2005-12-06,1103,678000,9204900,13.6,13.75,13.5,13.55,-0.15,95,0.0,0.91
2005-12-07,1103,824556,11090793,13.5,13.6,13.3,13.4,-0.15,193,0.0,0.9
2005-12-08,1103,148000,1980900,13.4,13.45,13.35,13.4,0.0,77,0.0,0.9
2005-12-09,1103,222317,2979075,13.35,13.45,13.35,13.45,0.05,66,0.0,0.91
2005-12-12,1103,215003,2866340,13.35,13.5,13.2,13.4,-0.05,77,0.0,0.9
