date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA
2015-07-13,8463,5740000,219834850,40.0,40.0,37.95,37.95,0.0,3835,2015,0.0,2.62,15.0,569.25,1.4283258916529815,4.31,8.8
2015-07-14,8463,2936500,114159100,38.1,39.7,38.1,39.0,1.05,1777,2015,13.88,2.7,15.0,585.0,1.4678447898410085,4.31,8.8
2015-07-15,8463,2676100,104811550,39.3,39.45,38.5,39.1,0.1,1305,2015,13.91,2.7,15.0,586.5,1.4716084944303445,4.31,8.8
2015-07-16,8463,1138000,44282000,39.1,39.1,38.8,38.9,-0.2,591,2015,13.84,2.69,15.0,583.5,1.4640810852516726,4.31,8.8
2015-07-17,8463,1048000,40725300,38.9,38.95,38.7,38.9,0.0,556,2015,13.84,2.69,15.0,583.5,1.4640810852516726,4.31,8.8
2015-07-20,8463,670782,24457892,38.6,38.75,35.55,35.6,-3.3,499,2015,12.67,2.46,15.0,534.0,1.3398788338035874,4.31,8.8
2015-07-21,8463,642000,21381150,35.0,35.0,32.25,33.1,-2.5,431,2015,11.78,2.29,15.0,496.5,1.2457862190701894,4.31,8.8
2015-07-22,8463,632108,20151339,33.0,33.0,31.25,31.7,-1.4,382,2015,11.28,2.19,15.0,475.5,1.1930943548194866,4.31,8.8
2015-07-23,8463,793466,23907680,31.3,31.35,29.2,30.0,-1.7,494,2015,10.68,2.07,15.0,450.0,1.129111376800776,4.31,8.8
2015-07-24,8463,407200,12317020,30.0,31.75,29.1,30.35,0.35,260,2015,10.8,2.1,15.0,455.25,1.1422843428634515,4.31,8.8
2015-07-27,8463,319456,9285724,29.4,29.75,28.6,28.8,-1.55,210,2015,10.25,1.99,15.0,432.0,1.0839469217287447,4.31,8.8
2015-07-28,8463,426200,12007200,28.0,28.9,27.0,28.15,-0.65,255,2015,10.02,1.95,15.0,422.25,1.0594828418980613,4.31,8.8
2015-07-29,8463,212000,5952550,28.3,28.7,27.9,28.05,-0.1,111,2015,9.98,1.94,15.0,420.75,1.0557191373087254,4.31,8.8
2015-07-30,8463,243050,6952550,28.5,29.0,28.15,28.3,0.25,129,2015,10.07,1.96,15.0,424.5,1.0651283987820652,4.31,8.8
2015-07-31,8463,135465,3773087,28.6,28.6,27.3,27.3,-1.0,100,2015,9.72,1.89,15.0,409.5,1.027491352888706,4.31,8.8
2015-08-03,8463,136600,3662100,27.5,27.5,26.5,26.5,-0.8,92,2015,9.43,1.83,15.0,397.5,0.9997354159352041,4.31,8.8
2015-08-04,8463,189010,4909613,27.1,27.1,25.3,25.4,-1.1,126,2015,9.04,1.76,15.0,381.0,0.958236964707705,4.31,8.8
2015-08-05,8463,227009,5695032,25.4,25.5,24.8,24.9,-0.5,161,2015,8.86,1.72,15.0,373.5,0.9393740323315691,4.31,8.8
2015-08-06,8463,195000,4870700,25.0,25.2,24.85,24.85,-0.05,110,2015,8.84,1.72,15.0,372.75,0.9374877390939556,4.31,8.8
2015-08-07,8463,160100,3950950,24.95,24.95,24.5,24.8,-0.05,93,2015,8.83,1.71,15.0,372.0,0.935601445856342,4.31,8.8
2015-08-10,8463,405100,10890425,25.2,27.25,25.2,27.25,2.45,268,2015,9.7,1.88,15.0,408.75,1.028029814499408,4.31,8.8
2015-08-11,8463,443380,12086675,27.5,27.7,26.5,26.55,-0.7,278,2015,9.45,1.83,15.0,398.25,1.0016217091728177,4.31,8.8
2015-08-12,8463,148170,3881373,26.1,26.65,25.9,26.05,-0.5,109,2015,9.27,1.8,15.0,390.75,0.9827587767966818,4.31,8.8
2015-08-13,8463,110000,2909450,26.3,26.9,26.1,26.2,0.15,82,2015,9.32,2.01,15.0,393.0,0.9884176565095225,4.31,8.8
2015-08-14,8463,128400,3418050,26.25,26.9,26.25,26.6,0.4,94,2015,9.64,2.04,15.0,399.0,1.0035080024104313,4.31,8.8
2015-08-17,8463,100210,2596160,26.6,26.6,25.7,25.85,-0.75,67,2015,9.37,1.99,15.0,387.75,0.9752136038462274,4.31,8.8
2015-08-18,8463,89001,2264525,25.7,25.75,25.2,25.3,-0.55,60,2015,9.17,1.94,15.0,379.5,0.9544643782324779,4.31,8.8
2015-08-19,8463,304450,7403735,25.1,25.1,23.7,24.4,-0.9,202,2015,8.84,1.87,15.0,366.0,0.9205110999554332,4.31,8.8
2015-08-20,8463,115000,2780900,24.4,24.4,24.0,24.05,-0.35,75,2015,8.71,1.85,15.0,360.75,0.9073070472921381,4.31,8.8
2015-08-21,8463,182158,4186930,22.9,23.8,22.55,22.9,-1.15,119,2015,8.3,1.76,15.0,343.5,0.8639223028270254,4.31,8.8
2015-08-24,8463,1044100,23653645,22.8,25.15,20.65,24.15,1.25,524,2015,8.75,1.85,15.0,362.25,0.9110796337673652,4.31,8.8
2015-08-25,8463,443100,10421670,24.15,24.5,22.65,23.4,-0.75,271,2015,8.48,1.8,15.0,351.0,0.8827852352031613,4.31,8.8
2015-08-26,8463,183000,4383850,23.05,24.7,23.0,24.0,0.6,129,2015,8.7,1.84,15.0,360.0,0.9054207540545245,4.31,8.8
2015-08-27,8463,178050,4326820,24.2,24.8,24.0,24.4,0.4,122,2015,8.84,1.87,15.0,366.0,0.9205110999554332,4.31,8.8
2015-08-28,8463,384131,9698017,24.8,25.5,24.8,25.1,0.7,269,2015,9.09,1.93,15.0,376.5,0.9469192052820234,4.31,8.8
2015-08-31,8463,329103,8511858,26.4,26.4,25.15,26.15,1.05,232,2015,9.47,2.01,15.0,392.25,0.9865313632719089,4.31,8.8
2015-09-01,8463,191000,4921050,26.1,26.1,25.55,25.85,-0.3,129,2015,9.37,1.99,15.0,387.75,0.9752136038462274,4.31,8.8
2015-09-02,8463,152385,3868360,25.7,25.8,24.95,25.7,-0.15,117,2015,9.31,1.97,15.0,385.5,1.020906199244344,4.31,8.8
2015-09-03,8463,112080,2881464,26.15,26.2,25.5,25.7,0.0,80,2015,9.31,1.97,15.0,385.5,1.020906199244344,4.31,8.8
2015-09-04,8463,133000,3360700,25.6,25.6,25.05,25.1,-0.6,108,2015,9.09,1.93,15.0,376.5,0.9970718132697679,4.31,8.8
2015-09-07,8463,61100,1547430,25.0,25.75,25.0,25.5,0.4,46,2015,9.24,1.96,15.0,382.5,1.0129614039194854,4.31,8.8
2015-09-08,8463,55000,1397100,25.5,25.6,25.25,25.4,-0.1,36,2015,9.2,1.95,15.0,381.0,1.008989006257056,4.31,8.8
2015-09-09,8463,111000,2852950,26.0,26.0,25.55,25.6,0.2,81,2015,9.28,1.97,15.0,384.0,1.0169338015819147,4.31,8.8
2015-09-10,8463,627119,17361898,25.7,28.15,25.65,28.15,2.55,399,2015,10.2,2.16,15.0,422.25,1.1182299419738633,4.31,8.8
2015-09-11,8463,609125,16686050,27.4,27.7,26.9,27.3,-0.85,386,2015,9.89,2.1,15.0,409.5,1.0844645618432136,4.31,8.8
2015-09-14,8463,224051,6038397,27.4,27.55,26.7,26.9,-0.4,167,2015,9.75,2.07,15.0,403.5,1.0685749711934962,4.31,8.8
2015-09-15,8463,261290,7138883,26.55,27.8,26.55,27.7,0.8,182,2015,10.04,2.13,15.0,415.5,1.1003541524929312,4.31,8.8
2015-09-16,8463,358050,10038165,28.0,28.5,27.55,27.65,-0.05,243,2015,10.02,2.12,15.0,414.75,1.0983679536617164,4.31,8.8
2015-09-17,8463,167400,4617780,27.65,27.9,27.1,27.45,-0.2,133,2015,9.95,2.11,15.0,411.75,1.0904231583368578,4.31,8.8
2015-09-18,8463,143001,3987727,27.9,28.1,27.5,27.95,0.5,113,2015,10.13,2.15,15.0,419.25,1.1102851466490045,4.31,8.8
2015-09-21,8463,154214,4214513,28.1,28.1,27.05,27.45,-0.5,121,2015,9.95,2.11,15.0,411.75,1.0904231583368578,4.31,8.8
2015-09-22,8463,238000,6654250,27.45,28.3,27.45,27.95,0.5,169,2015,10.13,2.15,15.0,419.25,1.1102851466490045,4.31,8.8
2015-09-23,8463,237000,6453000,27.9,27.9,27.0,27.0,-0.95,162,2015,9.78,2.07,15.0,405.0,1.0725473688559257,4.31,8.8
2015-09-24,8463,196000,5162200,27.4,27.4,25.65,26.25,-0.75,151,2015,9.51,2.02,15.0,393.75,1.0427543863877056,4.31,8.8
2015-09-25,8463,177000,4590600,26.2,26.55,25.7,25.7,-0.55,143,2015,9.31,1.97,15.0,385.5,1.020906199244344,4.31,8.8
2015-09-30,8463,96050,2439870,25.65,25.7,25.2,25.5,-0.2,63,2015,9.24,1.96,15.0,382.5,1.0129614039194854,4.31,8.8
2015-10-01,8463,139000,3575300,25.95,26.0,25.5,25.75,0.25,68,2015,9.33,1.98,15.0,386.25,1.0228923980755587,4.31,8.8
2015-10-02,8463,115050,3008750,25.75,26.55,25.75,26.15,0.4,97,2015,9.47,2.01,15.0,392.25,1.0745477243010508,4.31,8.8
2015-10-05,8463,80000,2097200,26.2,26.3,26.15,26.15,0.0,54,2015,9.47,2.01,15.0,392.25,1.0745477243010508,4.31,8.8
2015-10-06,8463,151050,3976007,26.25,26.55,26.15,26.15,0.0,90,2015,9.47,2.01,15.0,392.25,1.0745477243010508,4.31,8.8
2015-10-07,8463,73000,1907750,26.15,26.2,26.1,26.1,-0.05,51,2015,9.46,2.0,15.0,391.5,1.0724931397421578,4.31,8.8
2015-10-08,8463,113386,2914919,26.1,26.1,25.5,25.7,-0.4,72,2015,9.31,1.97,15.0,385.5,1.0560564632710137,4.31,8.8
2015-10-12,8463,86000,2197350,25.7,25.7,25.4,25.5,-0.2,70,2015,9.24,1.96,15.0,382.5,1.0478381250354416,4.31,8.8
2015-10-13,8463,170000,4331300,25.7,25.7,25.3,25.4,-0.1,103,2015,9.2,1.95,15.0,381.0,1.0437289559176555,4.31,8.8
2015-10-14,8463,100000,2548900,25.6,25.6,25.4,25.5,0.1,61,2015,9.24,1.96,15.0,382.5,1.0478381250354416,4.31,8.8
2015-10-15,8463,77000,1960950,25.5,25.75,25.35,25.45,-0.05,56,2015,9.22,1.95,15.0,381.75,1.0457835404765485,4.31,8.8
2015-10-16,8463,75000,1905500,25.45,25.5,25.3,25.4,-0.05,50,2015,9.2,1.95,15.0,381.0,1.0437289559176555,4.31,8.8
2015-10-19,8463,61200,1553269,25.4,25.5,25.3,25.35,-0.05,47,2015,9.18,1.95,15.0,380.25,1.0416743713587626,4.31,8.8
2015-10-20,8463,55000,1398050,25.4,25.5,25.3,25.45,0.1,45,2015,9.22,1.95,15.0,381.75,1.0457835404765485,4.31,8.8
2015-10-21,8463,163000,4170000,25.7,25.7,25.45,25.55,0.1,110,2015,9.26,1.96,15.0,383.25,1.0498927095943347,4.31,8.8
2015-10-22,8463,564802,15247461,25.75,27.6,25.75,27.1,1.55,427,2015,9.82,2.08,15.0,406.5,1.1135848309200183,4.31,8.8
2015-10-23,8463,379579,10266601,27.65,27.65,26.55,26.9,-0.2,260,2015,9.75,2.07,15.0,403.5,1.1053664926844462,4.31,8.8
2015-10-26,8463,193110,5218431,26.7,27.4,26.55,27.05,0.15,113,2015,9.8,2.08,15.0,405.75,1.1115302463611252,4.31,8.8
2015-10-27,8463,99158,2650147,27.05,27.05,26.55,26.75,-0.3,75,2015,9.69,2.05,15.0,401.25,1.0992027390077672,4.31,8.8
2015-10-28,8463,103000,2741950,26.85,26.85,26.5,26.5,-0.25,79,2015,9.6,2.04,15.0,397.5,1.088929816213302,4.31,8.8
2015-10-29,8463,90000,2370900,26.5,26.9,26.1,26.1,-0.4,65,2015,9.46,2.0,15.0,391.5,1.0724931397421578,4.31,8.8
2015-10-30,8463,151200,3867357,26.2,26.2,25.35,25.55,-0.55,130,2015,9.26,1.96,15.0,383.25,1.0498927095943347,4.31,8.8
2015-11-02,8463,61000,1568850,25.5,25.95,25.5,25.6,0.05,46,2015,9.28,1.97,15.0,384.0,1.0870125215916355,4.31,8.8
2015-11-03,8463,66000,1699600,25.6,25.9,25.6,25.85,0.25,49,2015,9.37,1.99,15.0,387.75,1.0976278782478037,4.31,8.8
2015-11-04,8463,205000,5410600,25.95,26.85,25.85,26.6,0.75,160,2015,9.64,2.04,15.0,399.0,1.1294739482163088,4.31,8.8
2015-11-05,8463,89434,2373951,26.9,26.9,26.15,26.5,-0.1,76,2015,9.6,2.04,15.0,397.5,1.1252278055538414,4.31,8.8
2015-11-06,8463,117200,3086868,26.65,26.7,26.05,26.05,-0.45,66,2015,9.44,2.0,15.0,390.75,1.1061201635727385,4.31,8.8
2015-11-09,8463,90000,2351400,26.1,26.3,26.05,26.1,0.05,64,2015,9.46,2.0,15.0,391.5,1.1082432349039721,4.31,8.8
2015-11-10,8463,298070,7975914,26.3,27.1,26.2,26.7,0.6,225,2015,9.67,2.05,15.0,400.5,1.1337200908787761,4.31,8.8
2015-11-11,8463,183000,4823050,26.7,26.8,25.7,25.95,-0.75,134,2015,9.4,1.99,15.0,389.25,1.101874020910271,4.31,8.8
2015-11-12,8463,108058,2782316,25.8,26.0,25.6,25.75,-0.2,81,2015,10.43,1.63,15.0,386.25,1.0933817355853364,4.31,8.8
2015-11-13,8463,126000,3234000,25.3,26.3,25.3,25.5,-0.25,95,2015,10.32,1.61,15.0,382.5,1.0827663789291682,4.31,8.8
2015-11-16,8463,118000,2986850,25.45,25.6,25.25,25.3,-0.2,70,2015,10.24,1.6,15.0,379.5,1.0742740936042334,4.31,8.8
2015-11-17,8463,49000,1261350,25.9,25.9,25.5,25.7,0.4,32,2015,10.4,1.62,15.0,385.5,1.0912586642541027,4.31,8.8
2015-11-18,8463,59100,1497190,25.55,25.55,25.1,25.15,-0.55,48,2015,10.18,1.59,15.0,377.25,1.0679048796105324,4.31,8.8
2015-11-19,8463,115030,2895168,25.2,25.7,25.0,25.2,0.05,81,2015,10.2,1.59,15.0,378.0,1.070027950941766,4.31,8.8
2015-11-20,8463,127500,3196624,25.5,25.5,25.0,25.05,-0.15,83,2015,10.14,1.58,15.0,375.75,1.0636587369480652,4.31,8.8
2015-11-23,8463,144400,3546789,25.3,25.3,24.2,24.5,-0.55,110,2015,9.92,1.55,15.0,367.5,1.040304952304495,4.31,8.8
2015-11-24,8463,148101,3606454,24.6,24.6,24.0,24.55,0.05,87,2015,9.94,1.55,15.0,368.25,1.0424280236357286,4.31,8.8
2015-11-25,8463,53100,1287219,25.0,25.0,24.15,24.15,-0.4,41,2015,9.78,1.53,15.0,362.25,1.0254434529858591,4.31,8.8
2015-11-26,8463,142500,3460900,24.5,25.15,24.0,24.3,0.15,100,2015,9.84,1.54,15.0,364.5,1.0318126669795602,4.31,8.8
2015-11-27,8463,91200,2197220,24.45,24.45,24.0,24.1,-0.2,57,2015,9.76,1.52,15.0,361.5,1.0233203816546255,4.31,8.8
2015-11-30,8463,68014,1617284,24.1,24.1,23.7,23.7,-0.4,60,2015,9.6,1.5,15.0,355.5,1.0063358110047562,4.31,8.8
2015-12-01,8463,570855,14324671,23.7,26.05,23.3,26.05,2.35,336,2015,10.55,1.65,15.0,390.75,1.1061201635727385,4.31,8.8
2015-12-02,8463,1126471,32260343,28.65,28.65,28.0,28.65,2.6,542,2015,11.6,1.81,15.0,429.75,1.2460212851459185,4.31,8.8
2015-12-03,8463,3722655,113041653,31.0,31.5,28.55,29.7,1.05,2151,2015,12.02,1.88,15.0,445.5,1.291686986695769,4.31,8.8
2015-12-04,8463,1098997,31788964,28.8,29.6,28.55,28.7,-1.0,593,2015,11.62,1.81,15.0,430.5,1.248195842362578,4.31,8.8
2015-12-07,8463,637500,18110349,29.4,29.4,27.7,28.3,-0.4,418,2015,11.46,1.79,15.0,424.5,1.2307993846293017,4.31,8.8
2015-12-08,8463,398050,10871600,28.4,28.4,26.65,26.65,-1.65,288,2015,10.79,1.68,15.0,399.75,1.159038996479537,4.31,8.8
2015-12-09,8463,240000,6392800,26.65,27.2,26.2,26.2,-0.45,171,2015,10.61,1.66,15.0,393.0,1.139467981529601,4.31,8.8
2015-12-10,8463,371050,9512450,26.2,26.5,25.2,25.4,-0.8,218,2015,10.28,1.61,15.0,381.0,1.1046750660630482,4.31,8.8
2015-12-11,8463,313050,7832950,25.85,25.85,24.7,24.7,-0.7,187,2015,10.0,1.56,15.0,370.5,1.0742312650298147,4.31,8.8
2015-12-14,8463,215400,5140850,24.15,24.2,23.5,24.0,-0.7,141,2015,9.72,1.52,15.0,360.0,1.043787463996581,4.31,8.8
2015-12-15,8463,196030,4763638,23.95,24.5,23.9,24.25,0.25,106,2015,9.82,1.53,15.0,363.75,1.0546602500798787,4.31,8.8
2015-12-16,8463,96000,2364700,24.65,24.9,24.4,24.55,0.3,59,2015,9.94,1.55,15.0,368.25,1.067707593379836,4.31,8.8
2015-12-17,8463,92000,2263800,24.75,24.8,24.5,24.6,0.05,54,2015,9.96,1.55,15.0,369.0,1.0698821505964955,4.31,8.8
2015-12-18,8463,130000,3197650,24.65,25.15,24.0,24.6,0.0,80,2015,9.96,1.55,15.0,369.0,1.0698821505964955,4.31,8.8
2015-12-21,8463,78000,1898200,24.4,24.6,24.15,24.4,-0.2,58,2015,9.88,1.54,15.0,366.0,1.0611839217298573,4.31,8.8
