date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE
2007-01-02,5356,5233,65098,12.9,13.0,11.9,11.9,-0.85,1056,2007,27.05,0.68,14.0,166.6,0.3208707963470035,0,0
2007-01-03,5356,5550,65326,11.75,12.2,11.5,11.5,-0.4,1123,2007,26.14,0.66,14.0,161.0,0.31008522336054956,0,0
2007-01-04,5356,5876,71906,11.7,12.3,11.7,12.3,0.8,723,2007,27.95,0.7,14.0,172.20000000000002,0.33165636933345743,0,0
2007-01-05,5356,3889,51137,13.15,13.15,13.15,13.15,0.85,543,2007,29.89,0.75,14.0,184.1,0.3545757119296719,0,0
2007-01-08,5356,11973,166538,14.0,14.05,13.3,14.05,0.9,1986,2007,31.93,0.8,14.0,196.70000000000002,0.3788432511491932,0,0
2007-01-09,5356,15493,224799,14.3,15.0,13.6,14.7,0.65,2800,2007,33.41,0.84,14.0,205.79999999999998,0.3963698072521807,0,0
2007-01-10,5356,9454,140352,14.5,15.3,14.1,14.85,0.15,1831,2007,33.75,0.85,14.0,207.9,0.400414397122101,0,0
2007-01-11,5356,7530,108271,14.85,15.2,13.85,13.85,-1.0,1388,2007,31.48,0.79,14.0,193.9,0.3734504646559662,0,0
2007-01-12,5356,4081,55851,14.0,14.3,13.3,13.75,-0.1,983,2007,31.25,0.79,14.0,192.5,0.37075407140935274,0,0
2007-01-15,5356,4768,63678,13.85,13.95,12.85,12.95,-0.8,930,2007,29.43,0.74,14.0,181.29999999999998,0.3491829254364449,0,0
2007-01-16,5356,4719,59021,12.95,13.15,12.2,12.5,-0.45,979,2007,28.41,0.72,14.0,175.0,0.3370491558266843,0,0
2007-01-17,5356,7919,104310,12.4,13.35,12.3,13.35,0.85,1434,2007,30.34,0.76,14.0,186.9,0.35996849842289885,0,0
2007-01-18,5356,3213,42750,13.25,13.6,13.05,13.45,0.1,795,2007,30.57,0.77,14.0,188.29999999999998,0.36266489166951227,0,0
2007-01-19,5356,2553,33399,13.45,13.45,12.8,13.0,-0.45,574,2007,29.55,0.74,14.0,182.0,0.3505311220597517,0,0
