date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA
2018-07-10,8028,10236883,402334903,38.0,41.7,36.85,41.7,0.0,4379,2018,29.16,2.88,13.2,550.44,2.881875763741057,7.85,12.12
2018-07-11,8028,14223056,651979700,41.7,51.0,41.0,50.0,8.3,7520,2018,34.97,3.45,13.2,660.0,3.4554865272674538,7.85,12.12
2018-07-12,8028,7497647,352043660,49.0,49.0,45.1,45.5,-4.5,4816,2018,31.82,3.14,13.2,600.6,3.1444927398133826,7.85,12.12
2018-07-13,8028,5749350,268681150,46.1,48.25,44.6,47.0,1.5,3586,2018,32.87,3.24,13.2,620.4,3.248157335631406,7.85,12.12
2018-07-16,8028,3598970,163365554,46.3,46.55,44.5,44.5,-2.5,2499,2018,31.12,3.07,13.2,587.4,3.075383009268034,7.85,12.12
2018-07-17,8028,2956827,132482705,44.45,46.2,43.25,43.55,-0.95,1949,2018,30.45,3.01,13.2,574.8599999999999,3.009728765249952,7.85,12.12
2018-07-18,8028,3432161,147074488,44.0,44.7,41.05,41.8,-1.75,2306,2018,29.23,2.88,13.2,551.7599999999999,2.888786736795591,7.85,12.12
2018-07-19,8028,5593649,248207931,42.1,45.95,41.35,45.95,4.15,3503,2018,32.13,3.17,13.2,606.54,3.17559211855879,7.85,12.12
2018-07-20,8028,9576723,464248101,46.8,49.95,46.8,49.75,3.8,5909,2018,34.79,3.43,13.2,656.6999999999999,3.438209094631116,7.85,12.12
2018-07-23,8028,4435332,206087622,48.5,48.5,45.2,46.0,-3.75,2927,2018,32.17,3.17,13.2,607.1999999999999,3.179047605086057,7.85,12.12
2018-07-24,8028,2187701,98735866,45.8,46.8,43.8,46.5,0.5,1651,2018,32.52,3.21,13.2,613.8,3.213602470358732,7.85,12.12
2018-07-25,8028,1710240,77581850,46.0,46.0,45.0,45.0,-1.5,1186,2018,31.47,3.11,13.2,594.0,3.1099378745407082,7.85,12.12
2018-07-26,8028,4974601,231713315,45.3,48.05,44.2,47.7,2.7,3117,2018,33.36,3.29,13.2,629.64,3.296534147013151,7.85,12.12
2018-07-27,8028,8832590,431607725,48.35,50.0,47.8,49.4,1.7,5184,2018,34.55,3.41,13.2,652.0799999999999,3.414020688940244,7.85,12.12
2018-07-30,8028,3084196,145581846,48.0,48.5,46.5,47.2,-2.2,2054,2018,33.01,3.26,13.2,623.04,3.261979281740476,7.85,12.12
2018-07-31,8028,6020417,295038447,47.0,50.3,46.4,49.95,2.75,3541,2018,34.93,3.45,13.2,659.34,3.452031040740186,7.85,12.12
2018-08-01,8028,7626546,383873790,50.0,52.0,48.6,48.9,-1.05,4687,2018,34.2,3.37,13.2,645.4799999999999,3.379465823667569,7.85,12.12
