date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA
2011-05-03,3694,2945050,107579745,37.0,37.8,35.45,35.7,0.0,1485,2011,0.0,0.0,11.0,392.7000000000001,0.6667975244781085,0.49,0.72
2011-05-04,3694,779170,27412567,35.5,35.5,35.0,35.15,-0.55,414,2011,0.0,2.24,11.0,386.65,0.656524733484748,0.49,0.72
2011-05-05,3694,868410,30487420,35.15,35.4,34.55,35.2,0.05,365,2011,14.37,2.25,11.0,387.2000000000001,0.6574586235750537,0.49,0.72
2011-05-06,3694,609055,21356127,35.1,35.2,34.7,35.1,-0.1,277,2011,14.33,2.24,11.0,386.1,0.6555908433944426,0.49,0.72
2011-05-09,3694,1541008,55392034,35.1,37.3,35.0,35.65,0.55,651,2011,14.55,2.28,11.0,392.15,0.6658636343878028,0.49,0.72
2011-05-10,3694,649500,23082425,35.5,36.0,35.25,35.3,-0.35,313,2011,14.41,2.25,11.0,388.3,0.6593264037556644,0.49,0.72
2011-05-11,3694,464100,16686615,36.2,36.2,35.6,35.7,0.4,241,2011,14.57,2.28,11.0,392.7000000000001,0.6667975244781085,0.49,0.72
2011-05-12,3694,309383,10914223,35.7,35.7,35.05,35.05,-0.65,169,2011,14.31,2.24,11.0,385.55,0.6546569533041371,0.49,0.72
2011-05-13,3694,230972,8158875,35.5,35.85,35.1,35.2,0.15,121,2011,14.37,2.25,11.0,387.2000000000001,0.6574586235750537,0.49,0.72
2011-05-16,3694,269172,9633371,35.2,37.0,35.2,35.6,0.4,158,2011,14.53,2.27,11.0,391.6,0.6649297442974973,0.49,0.72
2011-05-17,3694,298110,10692788,35.75,36.1,35.6,35.75,0.15,167,2011,14.59,2.28,11.0,393.25,0.6677314145684138,0.49,0.72
2011-05-18,3694,288310,10390596,35.7,36.5,35.7,35.75,0.0,152,2011,14.59,2.28,11.0,393.25,0.6677314145684138,0.49,0.72
2011-05-19,3694,332500,11841975,35.8,36.1,35.2,35.25,-0.5,167,2011,14.39,2.25,11.0,387.75,0.658392513665359,0.49,0.72
