date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR,year,equity,mkPrice
2005-09-02,1101,12102511,244590802,20.3,20.35,20.1,20.3,0.0,1251,16.92,1.07,2005,283,5744.900000000001
2005-09-05,1101,8127703,166070345,20.3,20.65,20.3,20.3,0.0,1215,9.67,1.07,2005,283,5744.900000000001
2005-09-06,1101,4227625,86259436,20.45,20.5,20.3,20.35,0.05,648,9.69,1.07,2005,283,5759.05
2005-09-07,1101,3945154,80707659,20.45,20.55,20.4,20.45,0.1,737,9.74,1.07,2005,283,5787.349999999999
2005-09-08,1101,3339991,68198429,20.45,20.5,20.35,20.45,0.0,539,9.74,1.07,2005,283,5787.349999999999
2005-09-09,1101,8491505,172341306,20.45,20.45,20.2,20.3,-0.15,1242,9.67,1.07,2005,283,5744.900000000001
2005-09-12,1101,4540527,92234194,20.3,20.4,20.25,20.3,0.0,586,9.67,1.07,2005,283,5744.900000000001
2005-09-13,1101,5852393,118820442,20.3,20.4,20.25,20.3,0.0,677,9.67,1.07,2005,283,5744.900000000001
2005-09-14,1101,11408113,231859840,20.3,20.4,20.25,20.3,0.0,1052,9.67,1.07,2005,283,5744.900000000001
2005-09-15,1101,10118000,205074500,20.3,20.4,20.15,20.15,-0.15,909,9.6,1.06,2005,283,5702.45
2005-09-16,1101,17055000,344688150,20.2,20.3,20.1,20.1,-0.05,1613,9.57,1.06,2005,283,5688.3
2005-09-19,1101,20378000,381975350,18.65,18.9,18.65,18.7,0.0,2936,8.9,0.98,2005,283,5292.099999999999
2005-09-20,1101,20622787,385869604,18.7,18.85,18.55,18.85,0.15,2088,9.43,0.99,2005,283,5334.55
2005-09-21,1101,37585632,723015033,18.8,19.5,18.8,19.3,0.45,3646,9.65,1.01,2005,283,5461.900000000001
2005-09-22,1101,9990973,193008812,19.2,19.4,19.1,19.4,0.1,1672,9.7,1.02,2005,283,5490.2
2005-09-23,1101,12086756,234621478,19.4,19.55,19.25,19.55,0.15,1366,9.78,1.03,2005,283,5532.650000000001
2005-09-26,1101,7954254,157011221,19.6,19.85,19.6,19.8,0.25,1042,9.9,1.04,2005,283,5603.400000000001
2005-09-27,1101,22952717,464415804,19.8,20.5,19.8,20.4,0.6,3213,10.2,1.07,2005,283,5773.2
2005-09-28,1101,31487310,655706449,20.5,21.0,20.5,20.9,0.5,2735,10.45,1.1,2005,283,5914.7
2005-09-29,1101,15363626,318476891,20.9,20.9,20.3,20.8,-0.1,2056,10.4,1.15,2005,283,5886.400000000001
2005-09-30,1101,19372956,403612722,20.8,20.95,20.7,20.95,0.15,2125,10.48,1.15,2005,283,5928.849999999999
2005-10-03,1101,11620653,245269557,20.95,21.25,20.9,21.05,0.1,2193,10.53,1.16,2005,283,5957.150000000001
2005-10-04,1101,10278712,215437780,21.05,21.05,20.85,21.0,-0.05,1401,10.5,1.16,2005,283,5943.0
2005-10-05,1101,11248699,235108569,21.0,21.05,20.6,20.9,-0.1,1362,10.45,1.15,2005,283,5914.7
2005-10-06,1101,6892537,144045348,20.8,20.95,20.75,20.9,0.0,836,10.45,1.15,2005,283,5914.7
2005-10-07,1101,7035622,147309023,20.9,21.0,20.85,21.0,0.1,1009,10.5,1.16,2005,283,5943.0
