date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice
2006-02-09,1528,908170,10709528,11.8,12.0,11.65,11.75,-0.05,250,2006,12.5,0.83,0,0.0
2006-02-10,1528,328213,3811777,11.7,11.7,11.5,11.5,-0.25,110,2006,12.23,0.81,0,0.0
2006-02-13,1528,1077606,12793113,11.8,12.0,11.75,11.75,0.25,271,2006,12.5,0.83,0,0.0
2006-02-14,1528,479479,5674975,11.75,11.95,11.75,11.8,0.05,107,2006,12.55,0.83,0,0.0
2006-02-15,1528,669500,7955874,11.8,11.95,11.8,11.8,0.0,126,2006,12.55,0.83,0,0.0
2006-02-16,1528,640503,7511008,11.8,11.85,11.65,11.8,0.0,129,2006,12.55,0.83,0,0.0
2006-02-17,1528,399207,4656928,11.8,11.8,11.55,11.55,-0.25,113,2006,12.29,0.82,0,0.0
2006-02-20,1528,724871,8341906,11.75,11.75,11.3,11.55,0.0,121,2006,12.29,0.82,0,0.0
2006-02-21,1528,298873,3421749,11.55,11.6,11.4,11.4,-0.15,85,2006,12.13,0.81,0,0.0
2006-02-22,1528,746300,8498960,11.4,11.55,11.25,11.35,-0.05,163,2006,12.07,0.8,0,0.0
2006-02-23,1528,862575,9746939,11.25,11.45,11.2,11.35,0.0,156,2006,12.07,0.8,0,0.0
2006-02-24,1528,700750,7860360,11.3,11.3,11.15,11.15,-0.2,133,2006,11.86,0.86,0,0.0
2006-02-27,1528,641667,7205002,11.25,11.4,11.1,11.2,0.05,146,2006,11.91,0.86,0,0.0
2006-03-01,1528,753795,8407211,11.0,11.3,11.0,11.15,-0.05,157,2006,11.86,0.86,0,0.0
2006-03-02,1528,723015,8351967,11.25,11.75,11.25,11.45,0.3,221,2006,12.18,0.88,0,0.0
2006-03-03,1528,556562,6322744,11.5,11.5,11.25,11.3,-0.15,124,2006,12.02,0.87,0,0.0
2006-03-06,1528,208970,2353414,11.45,11.45,11.2,11.3,0.0,79,2006,12.02,0.87,0,0.0
2006-03-07,1528,392350,4363935,11.3,11.3,11.0,11.1,-0.2,97,2006,11.81,0.85,0,0.0
2006-03-08,1528,573256,6379216,11.1,11.35,11.0,11.1,0.0,136,2006,11.81,0.85,0,0.0
2006-03-09,1528,119518,1345598,11.3,11.3,11.15,11.2,0.1,48,2006,11.91,0.86,0,0.0
2006-03-10,1528,135863,1517035,11.3,11.3,11.1,11.15,-0.05,65,2006,11.86,0.86,0,0.0
2006-03-13,1528,417844,4684401,11.3,11.3,11.1,11.3,0.15,102,2006,12.02,0.87,0,0.0
2006-03-14,1528,240386,2706153,11.3,11.35,11.2,11.25,-0.05,63,2006,11.97,0.86,0,0.0
2006-03-15,1528,373413,4172634,11.3,11.3,11.1,11.2,-0.05,69,2006,11.91,0.86,0,0.0
2006-03-16,1528,353762,3957532,11.25,11.25,11.1,11.1,-0.1,107,2006,11.81,0.85,0,0.0
2006-03-17,1528,138325,1543325,11.1,11.2,11.1,11.15,0.05,53,2006,11.86,0.86,0,0.0
2006-03-20,1528,275213,3101024,11.2,11.3,11.2,11.25,0.1,81,2006,11.97,0.86,0,0.0
2006-03-21,1528,1036525,12070863,11.45,11.85,11.3,11.65,0.4,347,2006,12.39,0.89,0,0.0
2006-03-22,1528,617456,7163993,11.65,11.7,11.5,11.65,0.0,152,2006,12.39,0.89,0,0.0
2006-03-23,1528,432020,4973873,11.65,11.7,11.4,11.4,-0.25,117,2006,12.13,0.88,0,0.0
2006-03-24,1528,491905,5697498,11.45,11.7,11.45,11.65,0.25,128,2006,12.39,0.89,0,0.0
2006-03-27,1528,1477478,17740658,11.75,12.35,11.7,12.05,0.4,343,2006,12.82,0.93,0,0.0
2006-03-28,1528,590999,7063837,12.1,12.15,11.85,12.0,-0.05,155,2006,12.77,0.92,0,0.0
2006-03-29,1528,368068,4383701,12.0,12.0,11.8,11.95,-0.05,108,2006,12.71,0.92,0,0.0
2006-03-30,1528,1212280,14600765,12.0,12.2,11.95,11.95,0.0,243,2006,12.71,0.92,0,0.0
2006-03-31,1528,1023681,12270650,12.0,12.15,11.8,11.9,-0.05,188,2006,12.66,0.91,0,0.0
2006-04-03,1528,754484,9010359,12.0,12.05,11.8,11.85,-0.05,147,2006,12.61,0.91,0,0.0
2006-04-04,1528,529125,6231387,11.95,11.95,11.65,11.8,-0.05,140,2006,12.55,0.91,0,0.0
2006-04-06,1528,1603634,19231120,11.9,12.1,11.85,12.0,0.2,321,2006,12.77,0.92,0,0.0
