date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR,year,equity,mkPrice
2005-10-03,1107,511000,318250,0.63,0.63,0.6,0.6,-0.02,32,4.29,0.23,2005,0,0.0
2005-10-04,1107,473400,283306,0.6,0.61,0.58,0.58,-0.02,21,4.14,0.22,2005,0,0.0
2005-10-05,1107,333000,197110,0.57,0.61,0.57,0.61,0.03,25,4.36,0.23,2005,0,0.0
2005-10-06,1107,187201,112430,0.58,0.61,0.58,0.6,-0.01,22,4.29,0.23,2005,0,0.0
2005-10-07,1107,176000,106590,0.59,0.61,0.59,0.6,0.0,10,4.29,0.23,2005,0,0.0
2005-10-11,1107,146000,88270,0.63,0.63,0.59,0.6,0.0,12,4.29,0.23,2005,0,0.0
2005-10-12,1107,35000,20790,0.62,0.62,0.59,0.6,0.0,7,4.29,0.23,2005,0,0.0
2005-10-13,1107,83889,49972,0.61,0.61,0.59,0.59,-0.01,21,4.21,0.22,2005,0,0.0
2005-10-14,1107,154908,92165,0.57,0.6,0.57,0.6,0.01,24,4.29,0.23,2005,0,0.0
2005-10-17,1107,52443,30657,0.61,0.61,0.57,0.57,-0.03,17,4.07,0.22,2005,0,0.0
2005-10-18,1107,408000,239050,0.58,0.59,0.56,0.56,-0.01,31,4.0,0.21,2005,0,0.0
2005-10-19,1107,187001,102000,0.56,0.56,0.53,0.53,-0.03,15,3.79,0.2,2005,0,0.0
2005-10-20,1107,318000,170830,0.53,0.55,0.53,0.53,0.0,20,3.79,0.2,2005,0,0.0
2005-10-21,1107,333985,180120,0.54,0.55,0.53,0.53,0.0,89,3.79,0.2,2005,0,0.0
2005-10-24,1107,76000,40290,0.53,0.54,0.53,0.53,0.0,8,3.79,0.2,2005,0,0.0
2005-10-25,1107,122675,65345,0.53,0.54,0.53,0.53,0.0,71,3.79,0.2,2005,0,0.0
2005-10-26,1107,233000,123840,0.53,0.54,0.52,0.52,-0.01,19,3.71,0.2,2005,0,0.0
2005-10-27,1107,592000,293310,0.52,0.52,0.49,0.5,-0.02,30,3.57,0.19,2005,0,0.0
2005-10-28,1107,73888,35864,0.51,0.51,0.47,0.49,-0.01,15,3.5,0.18,2005,0,0.0
2005-10-31,1107,365000,171150,0.47,0.49,0.46,0.46,-0.03,23,3.29,0.17,2005,0,0.0
2005-11-01,1107,773026,332401,0.43,0.43,0.43,0.43,-0.03,37,3.07,0.16,2005,0,0.0
2005-11-02,1107,818000,329550,0.4,0.45,0.4,0.41,-0.02,78,2.93,0.15,2005,0,0.0
