date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE
2007-01-02,8032,270,4430,16.5,16.5,16.3,16.3,0.05,111,2007,90.56,1.01,5.18,84.434,0.252597127715111,0,0
2007-01-03,8032,301,4957,16.4,16.7,16.35,16.4,0.1,138,2007,91.11,1.01,5.18,84.95199999999998,0.254146803345265,0,0
2007-01-04,8032,355,5903,16.5,16.8,16.4,16.65,0.25,157,2007,92.5,1.03,5.18,86.24699999999999,0.25802099242065013,0,0
2007-01-05,8032,245,4055,16.7,16.8,16.35,16.6,-0.05,121,2007,92.22,1.03,5.18,85.988,0.25724615460557315,0,0
2007-01-08,8032,435,7333,16.7,17.2,16.5,16.75,0.15,192,2007,93.06,1.03,5.18,86.765,0.25957066805080425,0,0
2007-01-09,8032,1977,34902,16.8,17.9,16.75,17.9,1.15,541,2007,99.44,1.11,5.18,92.722,0.27739193779757587,0,0
2007-01-10,8032,3619,66786,17.9,19.15,17.7,19.0,1.1,1195,2007,105.56,1.17,5.18,98.41999999999999,0.29443836972927045,0,0
2007-01-11,8032,1104,20079,19.0,19.0,17.7,17.7,-1.3,393,2007,98.33,1.09,5.18,91.68599999999999,0.27429258653726774,0,0
2007-01-12,8032,834,14398,17.05,17.7,17.05,17.2,-0.5,325,2007,95.56,1.06,5.18,89.09599999999999,0.26654420838649745,0,0
2007-01-15,8032,748,13121,17.2,17.95,17.1,17.5,0.3,280,2007,97.22,1.08,5.18,90.64999999999999,0.2711932352769596,0,0
2007-01-16,8032,370,6411,17.7,17.85,16.9,16.9,-0.6,161,2007,93.89,1.04,5.18,87.54199999999999,0.2618951814960353,0,0
2007-01-17,8032,489,8271,16.8,17.2,16.6,16.9,0.0,183,2007,93.89,1.04,5.18,87.54199999999999,0.2618951814960353,0,0
2007-01-18,8032,309,5248,17.0,17.2,16.8,16.9,0.0,125,2007,93.89,1.04,5.18,87.54199999999999,0.2618951814960353,0,0
2007-01-19,8032,276,4710,17.0,17.2,16.9,17.1,0.2,116,2007,95.0,1.06,5.18,88.578,0.26499453275634344,0,0
2007-01-22,8032,207,3551,17.1,17.4,17.0,17.1,0.0,75,2007,95.0,1.06,5.18,88.578,0.26499453275634344,0,0
2007-01-23,8032,180,3087,17.3,17.3,17.0,17.1,0.0,78,2007,95.0,1.06,5.18,88.578,0.26499453275634344,0,0
2007-01-24,8032,325,5671,17.2,17.6,17.2,17.4,0.3,137,2007,96.67,1.07,5.18,90.13199999999999,0.26964355964680553,0,0
2007-01-25,8032,199,3438,17.6,17.6,17.05,17.3,-0.1,99,2007,96.11,1.07,5.18,89.614,0.2680938840166515,0,0
2007-01-26,8032,318,5372,17.5,17.5,16.65,16.8,-0.5,152,2007,93.33,1.04,5.18,87.024,0.26034550586588123,0,0
2007-01-29,8032,221,3658,17.0,17.0,16.2,16.2,-0.6,119,2007,90.0,1.0,5.18,83.916,0.25104745208495693,0,0
2007-01-30,8032,121,1958,16.3,16.5,16.0,16.05,-0.15,68,2007,89.17,0.99,5.18,83.139,0.24872293863972583,0,0
2007-01-31,8032,134,2148,16.05,16.35,15.8,16.0,-0.05,79,2007,88.89,0.99,5.18,82.88,0.24794810082464883,0,0
2007-02-01,8032,87,1400,16.1,16.3,15.8,15.9,-0.1,58,2007,88.33,0.98,5.18,82.362,0.24639842519449476,0,0
2007-02-02,8032,73,1181,16.05,16.4,16.0,16.15,0.25,55,2007,89.72,1.0,5.18,83.65699999999998,0.25232837526188373,0,0
2007-02-05,8032,57,915,16.15,16.15,15.85,15.85,-0.3,37,2007,88.06,0.98,5.18,82.103,0.24764116086073423,0,0
2007-02-06,8032,55,876,15.8,16.0,15.8,15.85,0.0,41,2007,88.06,0.98,5.18,82.103,0.24764116086073423,0,0
2007-02-07,8032,118,1877,15.85,16.05,15.6,15.95,0.1,62,2007,88.61,0.99,5.18,82.621,0.24920356566111743,0,0
2007-02-08,8032,140,2225,15.95,15.95,15.65,15.75,-0.2,77,2007,87.5,0.97,5.18,81.585,0.246078756060351,0,0
2007-02-09,8032,219,3461,15.75,15.95,15.65,15.7,-0.05,67,2007,87.22,0.97,5.18,81.326,0.24529755366015943,0,0
2007-02-12,8032,267,4048,15.65,15.65,14.8,15.1,-0.6,122,2007,83.89,0.93,5.18,78.21799999999999,0.23592312485786035,0,0
2007-02-13,8032,236,3552,15.1,15.5,14.85,15.1,0.0,88,2007,83.89,0.93,5.18,78.21799999999999,0.23592312485786035,0,0
2007-02-14,8032,110,1677,15.25,15.3,15.0,15.3,0.2,52,2007,85.0,0.95,5.18,79.254,0.23904793445862674,0,0
2007-02-26,8032,146,2231,15.5,15.5,15.05,15.15,-0.15,67,2007,84.17,0.94,5.18,78.477,0.23670432725805196,0,0
2007-02-27,8032,91,1379,15.05,15.3,15.05,15.05,-0.1,41,2007,83.61,0.93,5.18,77.959,0.2351419224576688,0,0
2007-03-01,8032,193,2743,14.1,14.9,14.0,14.55,-0.5,91,2007,80.83,0.9,5.18,75.369,0.22732989845575288,0,0
2007-03-02,8032,105,1536,14.5,14.95,14.3,14.65,0.1,50,2007,81.39,0.9,5.18,75.887,0.23376473755644123,0,0
2007-03-05,8032,157,2255,14.8,14.85,14.1,14.5,-0.3,80,2007,80.56,0.9,5.18,75.11,0.23137124195006126,0,0
2007-03-06,8032,69,991,14.25,14.5,14.25,14.5,0.0,35,2007,80.56,0.9,5.18,75.11,0.23137124195006126,0,0
2007-03-07,8032,161,2412,14.95,15.2,14.75,14.75,0.25,84,2007,81.94,0.91,5.18,76.405,0.23536040129402785,0,0
2007-03-08,8032,55,830,15.25,15.25,15.0,15.15,0.4,33,2007,84.17,0.94,5.18,78.477,0.24174305624437437,0,0
2007-03-09,8032,99,1526,15.3,15.75,15.1,15.75,0.6,42,2007,87.5,0.97,5.18,81.585,0.2513170386698941,0,0
2007-03-12,8032,79,1242,16.05,16.05,15.5,15.5,-0.25,57,2007,86.11,0.96,5.18,80.28999999999999,0.24732787932592754,0,0
2007-03-13,8032,93,1448,15.5,15.85,15.45,15.5,0.0,48,2007,86.11,0.96,5.18,80.28999999999999,0.24732787932592754,0,0
2007-03-14,8032,74,1139,15.5,15.5,15.2,15.4,-0.1,36,2007,85.56,0.95,5.18,79.77199999999999,0.2457322155883409,0,0
2007-03-15,8032,157,2425,15.4,15.6,15.3,15.35,-0.05,62,2007,85.28,0.95,5.18,79.51299999999999,0.2449343837195476,0,0
2007-03-16,8032,50,785,15.35,16.0,15.35,15.6,0.25,25,2007,86.67,0.96,5.18,80.80799999999999,0.24892354306351416,0,0
2007-03-19,8032,45,698,15.7,15.7,15.45,15.5,-0.1,28,2007,86.11,0.96,5.18,80.28999999999999,0.24732787932592754,0,0
2007-03-20,8032,87,1348,15.45,15.65,15.2,15.3,-0.2,48,2007,85.0,0.95,5.18,79.254,0.2441365518507543,0,0
2007-03-21,8032,105,1599,15.35,15.45,15.15,15.3,0.0,52,2007,85.0,0.95,5.18,79.254,0.2441365518507543,0,0
2007-03-22,8032,115,1791,15.4,15.85,15.35,15.35,0.05,67,2007,85.28,0.95,5.18,79.51299999999999,0.2449343837195476,0,0
2007-03-23,8032,96,1481,15.5,15.65,15.3,15.45,0.1,48,2007,85.83,0.95,5.18,80.03099999999999,0.24653004745713422,0,0
2007-03-26,8032,394,6210,15.5,16.0,15.45,15.75,0.3,172,2007,87.5,0.97,5.18,81.585,0.2513170386698941,0,0
2007-03-27,8032,100,1555,15.75,15.75,15.45,15.45,-0.3,68,2007,85.83,0.95,5.18,80.03099999999999,0.24653004745713422,0,0
2007-03-28,8032,140,2179,15.5,15.7,15.5,15.6,0.15,60,2007,86.67,0.96,5.18,80.80799999999999,0.24892354306351416,0,0
2007-03-29,8032,283,4465,15.5,16.0,15.5,16.0,0.4,111,2007,88.89,0.99,5.18,82.88,0.25530619801386073,0,0
2007-03-30,8032,251,4021,16.0,16.15,15.85,15.95,-0.05,110,2007,88.61,0.99,5.18,82.621,0.2545083661450674,0,0
2007-04-02,8032,188,3032,15.95,16.25,15.95,16.05,0.1,113,2007,89.17,0.99,5.18,83.139,0.25711759482987634,0,0
2007-04-03,8032,204,3245,16.15,16.25,15.8,15.8,-0.25,81,2007,87.78,0.98,5.18,81.844,0.25311264786990945,0,0
2007-04-04,8032,520,8379,15.95,16.3,15.8,16.05,0.25,182,2007,89.17,0.99,5.18,83.139,0.25711759482987634,0,0
2007-04-09,8032,404,6638,16.1,16.65,16.1,16.3,0.25,175,2007,90.56,1.01,5.18,84.434,0.2611225417898433,0,0
2007-04-10,8032,170,2790,16.6,16.6,16.15,16.3,0.0,80,2007,90.56,1.01,5.18,84.434,0.2611225417898433,0,0
2007-04-11,8032,105,1723,16.3,16.4,16.25,16.4,0.1,54,2007,91.11,1.01,5.18,84.95199999999998,0.26272452057383,0,0
