date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE
2011-02-23,8410,1657000,111587000,69.6,69.6,64.3,66.6,14.6,988,2011,16.53,2.6,3.66,243.756,2.3496230092556,0,0
2011-02-24,8410,629000,40357300,66.9,68.0,60.5,61.0,-5.6,424,2011,15.14,2.38,3.66,223.26000000000002,2.1520571105794533,0,0
2011-02-25,8410,648000,41331400,61.0,66.9,61.0,65.2,4.2,451,2011,16.18,2.54,3.66,238.63200000000003,2.3002315345865636,0,0
2011-03-01,8410,304000,19636100,66.0,66.3,62.2,63.9,-1.3,181,2011,15.86,2.49,3.66,233.874,2.2543680223938862,0,0
2011-03-02,8410,314000,19959600,64.0,64.3,62.4,63.7,-0.2,154,2011,15.81,2.48,3.66,233.14200000000002,2.2579726651480643,0,0
2011-03-03,8410,316000,20481600,63.7,66.1,63.7,64.2,0.5,158,2011,15.93,2.5,3.66,234.972,2.2756961554553485,0,0
2011-03-04,8410,744000,48784100,65.2,68.6,63.1,68.6,4.4,402,2011,17.02,2.67,3.66,251.076,2.431662870159453,0,0
2011-03-07,8410,861000,61084300,69.1,73.1,67.1,72.2,3.6,536,2011,17.92,2.81,3.66,264.252,2.559272000371903,0,0
2011-03-08,8410,1090000,83098100,73.5,77.2,73.5,77.2,5.0,464,2011,19.16,3.01,3.66,282.552,2.736506903444749,0,0
2011-03-09,8410,1393000,114044600,82.6,82.6,79.1,82.6,5.4,689,2011,20.5,3.22,3.66,302.316,2.9279205987634227,0,0
2011-03-10,8410,845000,67050800,81.9,82.0,78.0,78.9,-3.7,416,2011,19.58,3.07,3.66,288.77400000000006,2.7967667704895174,0,0
2011-03-11,8410,533000,43085900,75.7,84.4,75.2,83.0,4.1,365,2011,20.6,3.23,3.66,303.78000000000003,2.9420993910092514,0,0
2011-03-14,8410,368000,29844100,84.0,84.0,78.5,80.6,-2.4,272,2011,20.0,3.14,3.66,294.996,2.8570266375342848,0,0
2011-03-15,8410,576000,45933500,83.9,84.0,75.0,75.0,-5.6,267,2011,18.61,2.92,3.66,274.5,2.6585235460926966,0,0
2011-03-16,8410,338000,24868000,73.1,76.5,70.5,74.1,-0.9,233,2011,18.39,2.89,3.66,271.206,2.6266212635395845,0,0
2011-03-17,8410,524000,37155500,71.1,72.3,70.0,71.0,-3.1,262,2011,17.62,2.77,3.66,259.86,2.5167356236344194,0,0
2011-03-18,8410,242000,17602000,71.5,73.8,71.5,73.0,2.0,158,2011,18.11,2.84,3.66,267.18,2.587629584863558,0,0
2011-03-21,8410,213000,15405500,73.0,74.0,71.0,73.1,0.1,149,2011,18.14,2.85,3.66,267.546,2.591174282925015,0,0
2011-03-22,8410,482000,36977300,73.4,78.2,73.4,78.2,5.1,258,2011,19.4,3.05,3.66,286.21200000000005,2.771953884059319,0,0
2011-03-23,8410,641000,52069700,80.0,82.8,79.2,81.5,3.3,431,2011,20.22,3.18,3.66,298.29,2.8889289200873973,0,0
2011-03-24,8410,294000,23686800,82.0,82.0,79.7,79.9,-1.6,175,2011,19.83,3.11,3.66,292.434,2.832213751104087,0,0
2011-03-25,8410,293000,23346300,80.6,81.5,78.0,80.0,0.1,167,2011,19.85,3.12,3.66,292.8,2.835758449165543,0,0
2011-03-28,8410,166000,13016800,80.6,80.6,77.3,77.9,-2.1,110,2011,19.33,3.04,3.66,285.11400000000003,2.761319789874948,0,0
2011-03-29,8410,93000,7166900,76.8,77.9,76.5,77.5,-0.4,65,2011,19.23,3.02,3.66,283.65000000000003,2.7471409976291206,0,0
2011-03-30,8410,147000,11591900,77.5,79.7,77.5,78.5,1.0,112,2011,19.48,3.06,3.66,287.31,2.782587978243689,0,0
2011-03-31,8410,175000,13344200,79.0,79.0,75.1,75.2,-3.3,117,2011,18.66,2.93,3.66,275.232,2.665612942215611,0,0
2011-04-01,8410,123000,9240800,75.9,76.0,74.2,75.5,0.3,62,2011,18.73,2.94,3.66,276.33,2.6762470363999813,0,0
2011-04-06,8410,100000,7590500,77.8,77.8,75.0,76.6,1.1,62,2011,19.01,2.99,3.66,280.356,2.6102476679586504,0,0
2011-04-07,8410,157000,12038200,77.0,77.1,76.3,76.6,0.0,85,2011,19.01,2.99,3.66,280.356,2.6102476679586504,0,0
2011-04-08,8410,109000,8385900,76.6,77.8,76.0,77.8,1.2,80,2011,19.31,3.03,3.66,284.748,2.6511392763339816,0,0
2011-04-11,8410,210000,16376800,80.2,80.2,76.6,77.1,-0.7,128,2011,19.13,3.0,3.66,282.186,2.6272858381150384,0,0
2011-04-12,8410,65000,4938200,77.7,77.7,75.0,75.3,-1.8,50,2011,18.68,2.93,3.66,275.598,2.5659484255520413,0,0
2011-04-13,8410,108000,8072200,77.0,77.0,74.0,75.0,-0.3,69,2011,18.61,2.92,3.66,274.5,2.5557255234582086,0,0
2011-04-14,8410,37000,2771100,74.5,75.8,74.2,75.7,0.7,28,2011,18.78,2.95,3.66,277.062,2.579578961677152,0,0
2011-04-15,8410,85000,6326200,75.7,75.7,72.1,73.0,-2.7,54,2011,18.11,2.84,3.66,267.18,2.4875728428326562,0,0
2011-04-18,8410,249000,17610600,72.8,72.8,68.0,70.0,-3.0,178,2011,17.37,2.73,3.66,256.2,2.385343821894328,0,0
2011-04-19,8410,60000,4096800,67.5,69.0,67.5,69.0,-1.0,51,2011,17.12,2.69,3.66,252.54000000000002,2.351267481581552,0,0
2011-04-20,8410,52000,3641100,69.0,71.0,69.0,71.0,2.0,42,2011,17.62,2.77,3.66,259.86,2.419420162207104,0,0
2011-04-21,8410,95000,6563600,70.6,70.6,68.2,69.0,-2.0,74,2011,17.12,2.69,3.66,252.54000000000002,2.351267481581552,0,0
2011-04-22,8410,150000,10196400,69.8,69.8,67.2,68.2,-0.8,114,2011,16.92,2.66,3.66,249.61200000000002,2.324006409331331,0,0
2011-04-25,8410,142000,9534200,68.2,68.2,66.0,66.5,-1.7,88,2011,16.5,2.59,3.66,243.39000000000001,2.2660766307996116,0,0
2011-04-26,8410,50000,3322600,65.0,67.5,65.0,67.0,0.5,37,2011,16.63,2.61,3.66,245.22,2.2831148009559996,0,0
2011-04-27,8410,82000,5443900,67.3,67.3,65.5,65.5,-1.5,61,2011,16.25,2.55,3.66,239.73000000000002,2.2320002904868352,0,0
2011-04-28,8410,379000,24279800,65.5,65.8,63.1,63.1,-2.4,191,2011,15.66,2.46,3.66,230.94600000000003,2.150217073736173,0,0
2011-04-29,8410,209000,12951900,63.1,63.1,61.1,63.0,-0.1,131,2011,15.63,2.46,3.66,230.58,2.1468094397048954,0,0
2011-05-03,8410,48000,2972200,63.5,63.5,61.5,62.1,-0.9,36,2011,15.41,2.42,3.66,227.286,2.0162015722550737,0,0
2011-05-04,8410,190000,12182000,61.9,65.8,61.2,65.6,3.5,106,2011,16.28,2.56,3.66,240.09599999999998,2.129836121415987,0,0
