date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE
2018-01-02,3710,470000,4390140,9.4,9.42,9.27,9.33,-0.04,139,2018,0.0,0.0,20.7,193.131,3.2869557225716854,0,0
2018-01-03,3710,705000,6522130,9.3,9.3,9.2,9.28,-0.05,171,2018,0.0,0.0,20.7,192.09599999999998,3.2693407401356094,0,0
2018-01-04,3710,440000,4012460,9.28,9.28,9.09,9.13,-0.15,147,2018,0.0,0.0,20.7,188.991,3.216495792827384,0,0
2018-01-05,3710,783000,7052570,9.1,9.13,8.97,9.05,-0.08,246,2018,0.0,0.0,20.7,187.335,3.1883118209296626,0,0
2018-01-08,3710,706000,6276510,9.03,9.03,8.81,8.82,-0.23,234,2018,0.0,0.0,20.7,182.574,3.107282901723716,0,0
2018-01-09,3710,380000,3328750,8.92,8.92,8.71,8.75,-0.07,152,2018,0.0,0.0,20.7,181.125,3.0826219263132097,0,0
2018-01-10,3710,993000,8358620,8.76,8.76,8.04,8.31,-0.44,340,2018,0.0,0.0,20.7,172.017,2.9276100808757453,0,0
2018-01-11,3710,294000,2429810,8.34,8.34,8.21,8.26,-0.05,92,2018,0.0,0.0,20.7,170.982,2.90999509843967,0,0
2018-01-12,3710,470000,3858770,8.26,8.26,8.17,8.18,-0.08,147,2018,0.0,0.0,20.7,169.326,2.8818111265419493,0,0
2018-01-15,3710,294000,2417010,8.26,8.33,8.18,8.2,0.02,113,2018,0.0,0.0,20.7,169.73999999999998,2.888857119516379,0,0
2018-01-16,3710,534000,4320050,8.2,8.2,8.05,8.08,-0.12,181,2018,0.0,0.0,20.7,167.256,2.846581161669798,0,0
2018-01-17,3710,1199000,10435150,8.19,8.88,8.12,8.88,0.8,363,2018,0.0,0.0,20.7,183.816,3.1284208806470057,0,0
2018-01-18,3710,2514000,23204380,9.02,9.44,9.02,9.12,0.24,892,2018,0.0,0.0,20.7,188.78399999999996,3.2129727963401673,0,0
2018-01-19,3710,464000,4273890,9.14,9.32,9.09,9.1,-0.02,204,2018,0.0,0.0,20.7,188.36999999999998,3.2059268033657378,0,0
2018-01-22,3710,551000,4897340,9.06,9.06,8.81,8.86,-0.24,200,2018,0.0,0.0,20.7,183.402,3.1213748876725753,0,0
2018-01-23,3710,280000,2466420,8.83,8.93,8.74,8.76,-0.1,120,2018,0.0,0.0,20.7,181.332,3.086144922800425,0,0
