date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE
2012-12-18,8155,1999000,59777050,30.8,30.8,29.1,29.1,5.1,1548,2012,10.7,1.33,4.15,120.76500000000001,0.7730295795113397,0,0
2012-12-19,8155,859000,25538700,29.5,30.2,29.5,29.5,0.4,577,2012,10.85,1.35,4.15,122.42500000000001,0.7836554156558253,0,0
2012-12-20,8155,441000,12679800,29.3,29.4,28.4,28.6,-0.9,332,2012,10.51,1.31,4.15,118.69000000000001,0.7597472843307325,0,0
2012-12-21,8155,451000,13082450,28.6,29.2,28.6,29.2,0.6,267,2012,10.74,1.33,4.15,121.18,0.775686038547461,0,0
2012-12-24,8155,530000,15955650,31.0,31.0,29.65,29.8,-1.2,297,2012,10.96,1.36,4.15,123.67000000000002,0.7916247927641898,0,0
2012-12-25,8155,321000,9617100,29.2,30.2,29.2,30.1,0.3,181,2012,11.07,1.37,4.15,124.91500000000002,0.7995941698725542,0,0
2012-12-26,8155,1180000,37826850,30.8,32.2,30.8,32.2,2.1,435,2012,11.84,1.47,4.15,133.63000000000002,0.8553798096311044,0,0
2012-12-27,8155,626000,21565700,34.45,34.45,34.45,34.45,2.25,235,2012,12.67,1.57,4.15,142.96750000000003,0.9151501379438368,0,0
2012-12-28,8155,3630000,133121200,36.85,36.85,35.85,36.85,2.4,1629,2012,13.55,1.68,4.15,152.9275,0.9789051548107512,0,0
2013-01-02,8155,1861000,69675150,37.05,38.5,36.0,37.2,0.35,1108,2013,13.68,1.7,4.15,154.38000000000002,0.979337985791416,0,0
2013-01-03,8155,1091000,40136100,38.0,38.15,36.15,36.6,-0.6,656,2013,13.46,1.67,4.15,151.89000000000001,0.9635422118270384,0,0
2013-01-04,8155,971000,35161750,36.5,36.95,35.7,36.0,-0.6,554,2013,13.24,1.64,4.15,149.4,0.9477464378626606,0,0
2013-01-07,8155,802000,28467150,36.05,36.5,35.0,35.1,-0.9,481,2013,12.9,1.6,4.15,145.66500000000002,0.9240527769160941,0,0
2013-01-08,8155,1170000,42728800,35.15,37.3,35.05,37.0,1.9,769,2013,13.6,1.69,4.15,153.55,0.9740727278032899,0,0
2013-01-09,8155,617000,22302750,36.05,36.6,35.6,35.9,-1.1,412,2013,13.2,1.64,4.15,148.985,0.9451138088685977,0,0
2013-01-10,8155,388000,13975100,36.0,36.45,35.4,35.4,-0.5,248,2013,13.01,1.62,4.15,146.91,0.9319506638982828,0,0
2013-01-11,8155,1402000,52129100,35.6,37.85,35.6,37.85,2.45,688,2013,13.92,1.73,4.15,157.07750000000001,0.9964500742528252,0,0
2013-01-14,8155,2370000,91848700,37.75,40.45,36.7,40.45,2.6,1278,2013,14.87,1.85,4.15,167.86750000000004,1.0648984280984617,0,0
2013-01-15,8155,1634000,65197700,39.9,41.05,38.6,38.6,-1.85,994,2013,14.19,1.76,4.15,160.19000000000003,1.0161947917082972,0,0
2013-01-16,8155,1055000,41815200,38.2,40.45,38.15,40.1,1.5,686,2013,14.74,1.83,4.15,166.41500000000002,1.0556842266192414,0,0
2013-01-17,8155,1133000,43391400,40.2,40.3,37.3,37.9,-2.2,757,2013,13.93,1.73,4.15,157.285,0.9977663887498565,0,0
2013-01-18,8155,705000,27134650,38.5,38.95,37.85,38.3,0.4,439,2013,14.08,1.75,4.15,158.945,1.0082969047261083,0,0
2013-01-21,8155,810000,31996350,38.9,40.0,38.7,38.8,0.5,495,2013,14.26,1.77,4.15,161.02,1.021460049696423,0,0
2013-01-22,8155,606000,23513950,38.9,39.1,38.6,38.6,-0.2,374,2013,14.19,1.76,4.15,160.19000000000003,1.0161947917082972,0,0
2013-01-23,8155,588000,23187550,38.8,39.85,38.7,39.1,0.5,389,2013,14.38,1.78,4.15,162.26500000000001,1.029357936678612,0,0
2013-01-24,8155,721000,28405400,39.2,39.75,38.95,39.25,0.15,399,2013,14.43,1.79,4.15,162.88750000000002,1.0333068801697063,0,0
2013-01-25,8155,569000,22253900,39.2,39.45,38.5,38.75,-0.5,308,2013,14.25,1.77,4.15,160.8125,1.0201437351993916,0,0
2013-01-28,8155,499000,19124750,38.75,39.0,37.9,38.5,-0.25,303,2013,14.15,1.76,4.15,159.775,1.0135621627142342,0,0
2013-01-29,8155,550000,21329250,38.5,39.2,38.15,38.7,0.2,366,2013,14.23,1.77,4.15,160.60500000000002,1.0188274207023602,0,0
2013-01-30,8155,644000,25389050,39.0,39.85,38.9,39.6,0.9,420,2013,14.56,1.81,4.15,164.34000000000003,1.0425210816489268,0,0
2013-01-31,8155,917000,36740500,39.75,41.0,39.0,40.65,1.05,583,2013,14.94,1.86,4.15,168.69750000000002,1.0701636860865877,0,0
2013-02-01,8155,618000,24809550,40.8,40.8,39.7,39.7,-0.95,425,2013,14.6,1.81,4.15,164.75500000000002,1.0451537106429896,0,0
2013-02-04,8155,454000,17957000,40.0,40.3,39.1,39.3,-0.4,309,2013,14.45,1.79,4.15,163.095,1.006631876830401,0,0
2013-02-05,8155,380000,14737600,39.05,39.2,38.55,38.85,-0.45,242,2013,14.28,1.77,4.15,161.22750000000002,0.9951055576300532,0,0
2013-02-06,8155,522000,20017800,39.15,39.15,38.1,38.15,-0.7,329,2013,14.03,1.74,4.15,158.32250000000002,0.977175727762845,0,0
2013-02-18,8155,266000,10332650,38.75,39.25,38.45,38.55,0.4,170,2013,14.17,1.76,4.15,159.98250000000002,0.987421344829821,0,0
2013-02-19,8155,148000,5708700,38.55,38.85,38.35,38.6,0.05,113,2013,14.19,1.76,4.15,160.19000000000003,0.9887020469631931,0,0
2013-02-20,8155,495000,19427900,38.75,39.85,38.7,39.8,1.2,298,2013,14.63,1.82,4.15,165.17000000000002,1.0194388981641214,0,0
2013-02-21,8155,261000,10224050,39.8,39.8,38.8,39.0,-0.8,190,2013,14.34,1.78,4.15,161.85000000000002,0.9989476640301692,0,0
2013-02-22,8155,242000,9343950,39.0,39.0,38.2,38.5,-0.5,179,2013,14.15,1.76,4.15,159.775,0.9861406426964489,0,0
2013-02-25,8155,369000,14357100,38.5,39.3,38.5,38.6,0.3,223,2013,14.19,1.76,4.15,160.19000000000003,0.9887020469631931,0,0
2013-02-26,8155,218000,8416300,38.6,39.0,38.3,38.35,-0.25,156,2013,14.1,1.75,4.15,159.15250000000003,0.982298536296333,0,0
2013-02-27,8155,173000,6642650,38.5,38.7,38.3,38.3,-0.05,114,2013,14.08,1.75,4.15,158.945,0.9810178341629608,0,0
2013-03-01,8155,176000,6774600,38.6,38.7,38.3,38.35,0.05,125,2013,14.1,1.75,4.15,159.15250000000003,0.982298536296333,0,0
2013-03-04,8155,307000,11528350,38.5,38.5,37.1,37.15,-1.2,219,2013,13.66,1.7,4.15,154.1725,0.9472580528224356,0,0
2013-03-05,8155,94000,3526950,37.2,37.95,37.2,37.5,0.35,59,2013,13.79,1.71,4.15,155.625,0.9561824220953251,0,0
2013-03-06,8155,154000,5848250,37.9,38.2,37.55,37.8,0.3,90,2013,13.9,1.73,4.15,156.87,0.9638318814720878,0,0
2013-03-07,8155,209000,8011200,37.8,38.8,37.45,38.5,0.7,132,2013,14.15,1.76,4.15,159.775,0.9816806200178672,0,0
2013-03-08,8155,300000,11565300,38.5,39.1,37.6,37.6,-0.9,155,2013,13.82,1.72,4.15,156.04000000000002,0.9587322418875796,0,0
2013-03-11,8155,285000,10842150,37.95,38.3,37.8,38.1,0.5,107,2013,14.01,1.74,4.15,158.115,0.9714813408488504,0,0
2013-03-12,8155,336000,12882950,38.1,38.8,38.1,38.45,0.35,152,2013,14.14,1.75,4.15,159.56750000000002,0.9804057101217403,0,0
2013-03-13,8155,145000,5536250,38.2,38.55,37.25,37.5,-0.95,81,2013,13.79,1.71,4.15,155.625,0.9561824220953251,0,0
2013-03-14,8155,219000,8133750,37.5,37.6,36.6,36.6,-0.9,135,2013,13.46,1.67,4.15,151.89000000000001,0.9332340439650375,0,0
2013-03-15,8155,473000,16968400,36.5,36.9,35.0,36.5,-0.1,287,2013,13.42,1.67,4.15,151.47500000000002,0.9306842241727833,0,0
2013-03-18,8155,247000,8739900,36.4,36.4,35.1,35.5,-1.0,124,2013,13.05,1.62,4.15,147.32500000000002,0.9051860262502412,0,0
2013-03-19,8155,209000,7336800,35.5,35.8,34.9,35.0,-0.5,126,2013,12.87,1.6,4.15,145.25,0.8924369272889702,0,0
2013-03-20,8155,116000,4038550,34.85,35.3,34.4,34.7,-0.3,85,2013,12.76,1.58,4.15,144.00500000000002,0.8847874679122077,0,0
2013-03-21,8155,163000,5765750,35.0,35.5,35.0,35.2,0.5,110,2013,12.94,1.61,4.15,146.08,0.8975365668734787,0,0
2013-03-22,8155,136000,4758150,35.2,35.25,34.75,35.0,-0.2,78,2013,12.87,1.6,4.15,145.25,0.8924369272889702,0,0
2013-03-25,8155,81000,2827000,35.35,35.5,34.75,34.8,-0.2,53,2013,12.79,1.59,4.15,144.42,0.8873372877044616,0,0
2013-03-26,8155,140000,4863800,35.3,35.3,34.55,34.55,-0.25,90,2013,12.7,1.58,4.15,143.3825,0.8809627382238262,0,0
2013-03-27,8155,183000,6480300,34.6,35.8,34.6,35.8,1.25,109,2013,13.16,1.63,4.15,148.57,0.9128354856270038,0,0
2013-03-28,8155,72000,2537550,36.0,36.0,35.1,35.3,-0.5,56,2013,12.98,1.61,4.15,146.495,0.9000863866657327,0,0
2013-03-29,8155,300000,10815000,35.7,36.6,35.2,36.4,1.1,158,2013,13.38,1.66,4.15,151.06,0.928134404380529,0,0
2013-04-01,8155,136000,4873250,36.4,36.4,35.6,35.6,-0.8,83,2013,13.09,1.62,4.15,147.74,0.9077358460424954,0,0
2013-04-02,8155,138000,4846950,35.5,35.5,34.9,35.1,-0.5,102,2013,12.9,1.6,4.15,145.66500000000002,0.9054669279082606,0,0
2013-04-03,8155,188000,6553600,35.4,35.4,34.7,35.0,-0.1,110,2013,12.87,1.6,4.15,145.25,0.9028872500509719,0,0
2013-04-08,8155,107000,3622950,33.6,34.9,33.6,33.8,-1.2,69,2013,10.24,1.49,4.15,140.27,0.87193111576351,0,0
2013-04-09,8155,119000,3965850,33.9,33.9,33.0,33.1,-0.7,88,2013,10.03,1.46,4.15,137.365,0.8538733707624906,0,0
2013-04-10,8155,239000,7695450,33.1,33.3,31.55,31.8,-1.3,141,2013,9.64,1.4,4.15,131.97000000000003,0.8203375586177404,0,0
2013-04-11,8155,166000,5239300,32.0,32.4,31.2,31.9,0.1,116,2013,9.67,1.41,4.15,132.38500000000002,0.8229172364750289,0,0
2013-04-12,8155,160000,5036050,32.0,32.4,31.2,31.35,-0.55,84,2013,9.5,1.38,4.15,130.10250000000002,0.8087290082599422,0,0
2013-04-15,8155,207000,6352500,31.35,31.35,30.3,30.3,-1.05,115,2013,9.18,1.34,4.15,125.74500000000002,0.781642390758413,0,0
2013-04-16,8155,68000,2079300,30.0,31.4,29.8,31.4,1.1,56,2013,9.52,1.39,4.15,130.31,0.8100188471885863,0,0
2013-04-17,8155,154000,4872450,31.4,32.2,30.7,31.6,0.2,112,2013,9.58,1.39,4.15,131.14000000000001,0.8151782029031633,0,0
2013-04-18,8155,69000,2146500,31.0,31.3,31.0,31.15,-0.45,48,2013,9.44,1.37,4.15,129.2725,0.803569652545365,0,0
2013-04-19,8155,97000,3053150,31.45,31.65,31.3,31.6,0.45,51,2013,9.58,1.39,4.15,131.14000000000001,0.8151782029031633,0,0
2013-04-22,8155,40000,1260900,31.6,31.75,31.3,31.7,0.1,27,2013,9.61,1.4,4.15,131.555,0.8177578807604517,0,0
2013-04-23,8155,152000,4687700,31.8,31.9,30.55,30.7,-1.0,96,2013,9.3,1.35,4.15,127.405,0.7919611021875668,0,0
2013-04-24,8155,132000,4066100,31.0,31.3,30.3,31.0,0.3,75,2013,9.39,1.37,4.15,128.65,0.7997001357594323,0,0
2013-04-25,8155,105000,3199300,31.0,31.0,30.0,30.1,-0.9,72,2013,9.12,1.33,4.15,124.91500000000002,0.776483035043836,0,0
2013-04-26,8155,112000,3411450,30.2,30.7,30.2,30.35,0.25,65,2013,9.2,1.34,4.15,125.95250000000001,0.7829322296870572,0,0
2013-04-29,8155,80000,2456000,30.4,30.95,30.4,30.8,0.45,53,2013,9.33,1.36,4.15,127.82000000000001,0.7945407800448553,0,0
2013-04-30,8155,55000,1706750,30.8,31.3,30.75,30.9,0.1,47,2013,9.36,1.36,4.15,128.235,0.7971204579021439,0,0
2013-05-02,8155,78000,2386650,30.9,30.9,30.4,30.4,-0.5,40,2013,9.21,1.34,4.15,126.16000000000001,0.8042497228538625,0,0
2013-05-03,8155,301000,9631150,30.4,32.5,30.4,32.45,2.05,208,2013,9.83,1.43,4.15,134.66750000000002,0.8584836679805212,0,0
2013-05-06,8155,126000,3986850,32.3,32.3,31.1,31.7,-0.75,99,2013,9.61,1.4,4.15,131.555,0.8386419807390606,0,0
2013-05-07,8155,116000,3638100,31.7,31.7,31.1,31.3,-0.4,56,2013,9.48,1.38,4.15,129.895,0.8280597475436151,0,0
2013-05-08,8155,143000,4490200,31.5,31.85,31.0,31.6,0.3,75,2013,9.58,1.39,4.15,131.14000000000001,0.8359964224401993,0,0
2013-05-09,8155,98000,3095100,31.6,31.9,31.3,31.4,-0.2,54,2013,9.52,1.39,4.15,130.31,0.8307053058424765,0,0
2013-05-10,8155,219000,6710950,31.2,31.2,30.2,30.2,-1.2,127,2013,9.15,1.33,4.15,125.33000000000001,0.7989586062561399,0,0
2013-05-13,8155,255000,7450600,30.2,30.2,28.5,29.0,-1.2,171,2013,8.79,1.28,4.15,120.35000000000001,0.7672119066698031,0,0
2013-05-14,8155,94000,2723350,28.8,29.3,28.75,28.9,-0.1,59,2013,8.76,1.28,4.15,119.935,0.7645663483709417,0,0
2013-05-15,8155,314000,8795400,29.1,29.1,27.5,27.7,-1.2,198,2013,8.39,1.22,4.15,114.95500000000001,0.7328196487846051,0,0
2013-05-16,8155,102000,2872150,27.95,28.4,27.9,28.05,0.35,70,2013,8.5,1.24,4.15,116.40750000000001,0.7420791028306201,0,0
2013-05-17,8155,83000,2342100,28.0,28.6,27.8,28.05,0.0,55,2013,8.5,1.24,4.15,116.40750000000001,0.7420791028306201,0,0
2013-05-20,8155,72000,2035650,28.1,28.5,28.1,28.3,0.25,46,2013,8.58,1.25,4.15,117.44500000000001,0.7486929985777734,0,0
2013-05-21,8155,43000,1212250,28.0,28.45,28.0,28.3,0.0,28,2013,8.58,1.25,4.15,117.44500000000001,0.7486929985777734,0,0
2013-05-22,8155,214000,6222150,28.5,29.95,28.4,29.25,0.95,152,2013,8.86,1.29,4.15,121.38750000000002,0.7738258024169568,0,0
2013-05-23,8155,56000,1615700,29.0,29.25,28.6,28.75,-0.5,40,2013,8.71,1.27,4.15,119.31250000000001,0.7605980109226498,0,0
2013-05-24,8155,48000,1368100,29.0,29.0,28.3,28.3,-0.45,33,2013,8.58,1.25,4.15,117.44500000000001,0.7486929985777734,0,0
2013-05-27,8155,51000,1449150,28.3,28.6,28.3,28.6,0.3,34,2013,8.67,1.26,4.15,118.69000000000001,0.7566296734743577,0,0
2013-05-28,8155,39000,1113050,28.75,28.75,28.4,28.5,-0.1,28,2013,8.64,1.26,4.15,118.275,0.7539841151754961,0,0
2013-05-29,8155,104000,3030100,28.5,29.7,28.5,29.0,0.5,74,2013,8.79,1.28,4.15,120.35000000000001,0.7672119066698031,0,0
