date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA
2005-09-02,2457,7112559,73634399,10.1,10.7,10.1,10.7,0.7,1169,2005,28.92,0.78,32.0,342.4,0.38932530061848597,5.78,11.05
2005-09-05,2457,10965890,122035470,10.8,11.4,10.75,11.2,0.5,1841,2005,21.96,0.82,32.0,358.4,0.4075180716754246,5.78,11.05
2005-09-06,2457,4994409,55585573,11.2,11.3,10.85,11.2,0.0,1038,2005,21.96,0.82,32.0,358.4,0.4075180716754246,5.78,11.05
2005-09-07,2457,6184061,70345630,11.2,11.55,11.2,11.25,0.05,1252,2005,22.06,0.82,32.0,360.0,0.40933734878111844,5.78,11.05
2005-09-08,2457,3436598,38726819,11.25,11.4,11.1,11.3,0.05,759,2005,22.16,0.83,32.0,361.6,0.4111566258868123,5.78,11.05
2005-09-09,2457,1823864,20336766,11.35,11.35,11.05,11.05,-0.25,479,2005,21.67,0.81,32.0,353.6,0.40206024035834304,5.78,11.05
2005-09-12,2457,1501443,16742757,11.3,11.3,11.05,11.2,0.15,388,2005,21.96,0.82,32.0,358.4,0.4075180716754246,5.78,11.05
2005-09-13,2457,2135998,23543014,11.2,11.25,10.9,10.9,-0.3,468,2005,21.37,0.8,32.0,348.8,0.39660240904126143,5.78,11.05
2005-09-14,2457,2056036,22150081,10.9,11.05,10.5,10.5,-0.4,489,2005,20.59,0.77,32.0,336.0,0.38204819219571057,5.78,11.05
2005-09-15,2457,1798875,18755944,10.6,10.6,10.35,10.35,-0.15,545,2005,20.29,0.76,32.0,331.2,0.37659036087862896,5.78,11.05
2005-09-16,2457,2351856,24680731,10.35,10.85,10.25,10.85,0.5,541,2005,21.27,0.8,32.0,347.2,0.3947831319355676,5.78,11.05
2005-09-19,2457,2122254,22872368,10.85,10.95,10.6,10.6,-0.25,505,2005,20.78,0.78,32.0,339.2,0.38568674640709827,5.78,11.05
2005-09-20,2457,3661287,40473682,10.5,11.3,10.45,11.3,0.7,922,2005,22.16,0.83,32.0,361.6,0.4111566258868123,5.78,11.05
2005-09-21,2457,5265121,60294237,11.25,11.7,11.1,11.4,0.1,1242,2005,22.35,0.84,32.0,364.8,0.41479518009820004,5.78,11.05
2005-09-22,2457,1942657,21865826,11.1,11.45,11.1,11.2,-0.2,561,2005,21.96,0.82,32.0,358.4,0.4075180716754246,5.78,11.05
2005-09-23,2457,2440063,26968751,11.2,11.4,10.85,10.85,-0.35,568,2005,21.27,0.8,32.0,347.2,0.3947831319355676,5.78,11.05
2005-09-26,2457,1667824,18083955,11.05,11.1,10.6,10.95,0.1,494,2005,21.47,0.8,32.0,350.4,0.3984216861469553,5.78,11.05
