date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE
2016-09-29,4754,1664000,105011800,55.0,72.0,55.0,66.0,33.0,1235,2016,18.28,5.13,1.56,102.96000000000001,2.540647648000869,0,0
2016-09-30,4754,884000,55999300,61.2,67.2,61.0,63.0,-3.0,625,2016,17.45,4.9,1.56,98.28,2.425163664000829,0,0
2016-10-03,4754,721000,47042800,64.5,67.0,63.5,64.0,1.0,545,2016,17.73,4.98,1.56,99.84,2.411972894294998,0,0
2016-10-04,4754,553000,33323700,64.0,64.0,58.0,59.0,-5.0,420,2016,16.34,4.59,1.56,92.04,2.2235375119282015,0,0
2016-10-05,4754,360000,20769100,58.5,59.0,56.9,57.0,-2.0,264,2016,15.79,4.43,1.56,88.92,2.1481633589814826,0,0
2016-10-06,4754,420000,24522600,57.9,61.2,56.0,60.0,3.0,341,2016,16.62,4.67,1.56,93.60000000000001,2.2612245884015607,0,0
2016-10-07,4754,1249000,80298300,60.5,66.0,58.1,66.0,6.0,724,2016,18.28,5.13,1.56,102.96000000000001,2.487347047241717,0,0
2016-10-11,4754,1412000,94646900,69.0,69.7,63.5,66.3,0.3,935,2016,18.37,5.16,1.56,103.428,2.4986531701837245,0,0
2016-10-12,4754,425000,26788800,66.0,66.0,61.5,62.5,-3.8,333,2016,17.31,4.86,1.56,97.5,2.3554422795849588,0,0
2016-10-13,4754,607000,39345600,61.5,66.6,61.5,64.3,1.8,461,2016,17.81,5.0,1.56,100.30799999999999,2.4232790172370056,0,0
2016-10-14,4754,453000,28009500,64.9,64.9,60.2,61.1,-3.2,375,2016,16.93,4.75,1.56,95.316,2.3026803725222558,0,0
2016-10-17,4754,173000,10416400,59.3,61.6,59.2,61.0,-0.1,146,2016,16.9,4.74,1.56,95.16,2.29891166487492,0,0
2016-10-18,4754,236000,14061000,60.5,61.5,58.1,58.9,-2.1,185,2016,16.32,4.58,1.56,91.884,2.219768804280865,0,0
2016-10-19,4754,210000,12416300,59.1,60.3,58.1,58.5,-0.4,166,2016,16.2,4.55,1.56,91.26,2.2046939736915214,0,0
2016-10-20,4754,223000,13386800,58.5,62.0,58.5,60.7,2.2,177,2016,16.81,4.72,1.56,94.69200000000001,2.2876055419329124,0,0
2016-10-21,4754,147000,8762200,60.0,60.5,59.2,59.9,-0.8,118,2016,16.59,4.66,1.56,93.444,2.257455880754225,0,0
2016-10-24,4754,111000,6585300,60.0,60.2,58.9,58.9,-1.0,89,2016,16.32,4.58,1.56,91.884,2.219768804280865,0,0
2016-10-25,4754,135000,7906500,58.3,59.2,58.2,58.2,-0.7,90,2016,16.12,4.53,1.56,90.792,2.193387850749514,0,0
2016-10-26,4754,80000,4685600,58.2,59.3,58.0,59.0,0.8,73,2016,16.34,4.59,1.56,92.04,2.2235375119282015,0,0
2016-10-27,4754,149000,8599700,59.2,59.2,57.0,57.0,-2.0,129,2016,15.79,4.43,1.56,88.92,2.1481633589814826,0,0
2016-10-28,4754,84000,4746600,57.0,57.0,56.0,56.6,-0.4,73,2016,15.68,4.4,1.56,88.296,2.1330885283921392,0,0
2016-10-31,4754,54000,3002900,55.8,56.2,55.0,56.0,-0.6,46,2016,15.51,4.35,1.56,87.36,2.1104762825081234,0,0
2016-11-01,4754,151000,8270600,55.1,56.0,53.9,53.9,-2.1,112,2016,14.93,4.19,1.56,84.084,2.0313334219140686,0,0
2016-11-02,4754,99000,5219400,52.2,53.9,52.0,52.6,-1.3,84,2016,14.57,4.09,1.56,82.05600000000001,1.9049918512705986,0,0
2016-11-03,4754,134000,6723150,52.6,52.6,47.8,49.45,-3.15,103,2016,13.7,3.85,1.56,77.14200000000001,1.7909096396450779,0,0
2016-11-04,4754,66000,3240700,49.35,50.5,48.0,49.2,-0.25,50,2016,13.63,3.83,1.56,76.75200000000001,1.7818554958652746,0,0
2016-11-07,4754,115000,5915500,50.9,52.3,50.0,51.2,2.0,94,2016,14.18,3.98,1.56,79.87200000000001,1.8542886461037005,0,0
